,image name,point type,point #,x,y
363,need coding or recoding/2021 photos/IMG_3538.JPG,fin,1,537,205
364,need coding or recoding/2021 photos/IMG_3538.JPG,fin,2,535,331
365,need coding or recoding/2021 photos/IMG_3538.JPG,fin,3,679,367
354,need coding or recoding/2021 photos/IMG_3558.JPG,fin,1,570,169
355,need coding or recoding/2021 photos/IMG_3558.JPG,fin,2,559,234
356,need coding or recoding/2021 photos/IMG_3558.JPG,fin,3,473,244
360,need coding or recoding/2021 photos/IMG_3711.JPG,fin,1,212,344
361,need coding or recoding/2021 photos/IMG_3711.JPG,fin,2,214,402
362,need coding or recoding/2021 photos/IMG_3711.JPG,fin,3,149,425
357,need coding or recoding/2021 photos/IMG_3885.JPG,fin,1,544,293
358,need coding or recoding/2021 photos/IMG_3885.JPG,fin,2,547,327
359,need coding or recoding/2021 photos/IMG_3885.JPG,fin,3,609,328
342,need coding or recoding/IMG_1994.JPG,fin,1,501,132
343,need coding or recoding/IMG_1994.JPG,fin,2,494,233
344,need coding or recoding/IMG_1994.JPG,fin,3,597,269
348,need coding or recoding/IMG_2257.JPG,fin,1,394,293
349,need coding or recoding/IMG_2257.JPG,fin,2,376,375
350,need coding or recoding/IMG_2257.JPG,fin,3,480,404
351,need coding or recoding/IMG_2309.JPG,fin,1,482,257
352,need coding or recoding/IMG_2309.JPG,fin,2,486,346
353,need coding or recoding/IMG_2309.JPG,fin,3,391,360
333,need coding or recoding/IMG_4851.JPG,fin,1,401,246
334,need coding or recoding/IMG_4851.JPG,fin,2,402,345
335,need coding or recoding/IMG_4851.JPG,fin,3,541,358
336,need coding or recoding/IMG_7913.JPG,fin,1,446,242
337,need coding or recoding/IMG_7913.JPG,fin,2,461,305
338,need coding or recoding/IMG_7913.JPG,fin,3,376,329
345,need coding or recoding/IMG_8386.JPG,fin,1,331,225
346,need coding or recoding/IMG_8386.JPG,fin,2,321,294
347,need coding or recoding/IMG_8386.JPG,fin,3,249,297
339,need coding or recoding/IMG_8387.JPG,fin,1,692,220
